Date,Auto_YoY,Momentum_3M,Repo_Change3M,Composite_Signal,Signal,Price,Position,Returns,Strategy_Returns,Cumulative_Strategy,Cumulative_Benchmark,Turnover
2019-01-31,-0.0045030708113779,0.0493225800545141,-0.0866078673208026,0.4614769371894001,0.8498680631728933,508.12172681831623,1.0,,,,,
2019-02-28,-0.0043812599953633,0.0489497708100466,0.0498298190115082,0.7868829735940422,1.449144377149291,505.0629447500658,1.0,-0.006019782085295744,-0.006019782085295744,0.9939802179147043,0.9939802179147043,0.0
2019-03-31,-0.01253704214357,0.0321095995730874,-0.0966139015762888,0.2302997468298933,0.42412607004713554,502.42208598874856,1.0,-0.0052287715596005535,-0.0052287715596005535,0.9887829224204663,0.9887829224204663,0.0
2019-04-30,0.0129827341402761,0.0249868762768753,0.1429504096731433,0.7533394225281725,1.387369691398112,497.0572428779677,1.0,-0.010677960345280235,-0.010677960345280235,0.9782247375847702,0.9782247375847702,0.0
2019-05-31,0.081481118635627,0.0478602772212883,-0.0579661075488324,0.6032243984399122,1.1109139154019188,501.3842810245911,1.0,0.008705311528245163,0.008705311528245163,0.9867404886700816,0.9867404886700816,0.0
2019-06-30,0.0806830358160637,0.0370432522794345,0.0391489342723883,0.7121513782908674,1.3115167059921014,489.8765875401897,1.0,-0.022951843366300073,-0.022951843366300073,0.9640929755309394,0.9640929755309394,0.0
2019-07-31,-0.0176796459880319,0.0366998085173784,0.009728020315042,0.5348067908085962,0.9849142499827017,498.6006463612721,1.0,0.01780868701010685,0.01780868701010685,0.9812622055808126,0.9812622055808126,0.0
2019-08-31,0.0411022906522187,-0.0024364383569437,-0.1474671153846065,-0.2354354393189708,-0.43358409639039464,494.79461185679656,-1.0,-0.007633432752748082,-0.007633432752748082,0.9737718065216981,0.9737718065216981,2.0
2019-09-30,-0.0179286203485274,-0.0415669642247483,-0.167247436193044,-0.7962116103657116,-1.4663242399469159,496.38980733708206,-1.0,0.003223954833095899,-0.003223954833095899,0.97063241019973,0.9769112028436663,0.0
2019-10-31,0.0696664927178709,-0.035891115994924,-0.0913753988898244,-0.4563187893368788,-0.8403686824417984,495.14295545969503,-1.0,-0.0025118402089596703,0.0025118402089596703,0.9730704837157891,0.9744573580037804,0.0
2019-11-30,-0.0199511663262642,-0.0072489170255702,0.0174635656028288,0.0439309772608704,0.08090444299422277,502.4534951449199,1.0,0.014764503068487977,-0.014764503068487977,0.9587035815731122,0.9888447366561379,2.0
2019-12-31,0.0021180525827957,0.022931496231557,0.3214106184135028,1.149410399489117,2.1167844182074003,492.1527915974316,1.0,-0.020500809820254706,-0.020500809820254706,0.9390493817732848,0.9685726187681906,0.0
