Date,Auto_YoY,Momentum_3M,Repo_Change3M,Composite_Signal
2019-01-31,-0.004503070811377907,0.0493225800545141,-0.08660786732080261,0.4614769371894001
2019-02-28,-0.004381259995363318,0.04894977081004662,0.04982981901150829,0.7868829735940422
2019-03-31,-0.012537042143570098,0.03210959957308746,-0.0966139015762888,0.23029974682989338
2019-04-30,0.012982734140276175,0.02498687627687535,0.14295040967314332,0.7533394225281725
2019-05-31,0.08148111863562701,0.04786027722128831,-0.05796610754883247,0.6032243984399122
2019-06-30,0.08068303581606373,0.03704325227943454,0.0391489342723883,0.7121513782908674
2019-07-31,-0.017679645988031956,0.03669980851737844,0.009728020315042052,0.5348067908085962
2019-08-31,0.04110229065221871,-0.0024364383569437376,-0.14746711538460655,-0.23543543931897085
2019-09-30,-0.01792862034852749,-0.04156696422474837,-0.16724743619304405,-0.7962116103657116
2019-10-31,0.06966649271787095,-0.03589111599492404,-0.09137539888982449,-0.4563187893368788
2019-11-30,-0.019951166326264258,-0.007248917025570213,0.0174635656028288,0.04393097726087045
2019-12-31,0.0021180525827957375,0.02293149623155707,0.3214106184135028,1.149410399489117
2020-01-31,0.10133926985517894,0.04986709670734452,-0.1383015688917757,0.4529797445508774
2020-02-29,0.04191760926362975,0.01122039881637335,0.04256685936733984,0.38207229887964883
2020-03-31,0.07553225381417428,0.024352457778171483,-0.002067915916891039,0.4607688083433257
2020-04-30,-0.3063996530681783,-0.01659651678871921,0.18941337721941753,0.05347150412810627
2020-05-31,-0.5842914191244744,0.03318923136056783,0.2615013771867325,0.5131243943449724
2020-06-30,-0.712176701405004,0.056915902237215155,-0.10168973682050009,-0.22340431590434948
2020-07-31,-0.76334054270808,0.06261809016592765,-0.2341740476489127,-0.5308466957103009
2020-08-31,-0.8079708504024539,0.043374478586656245,0.004250599267246358,-0.2234096957671936
2020-09-30,-0.813566414059231,0.004088736627816281,-0.11740480292267641,-0.9764884349669072
2020-10-31,-0.8161785437093121,-0.03150699493753111,0.16636820808510944,-0.704517040341611
